transaction_month,state,category,age_bucket,amount_bucket,total_transactions,total_revenue,total_profit,avg_transaction_value,unique_customers
2014-01,Arizona,Furniture,60+,Medium (50-500),1,181.47,-320.6,181.47,1
2014-01,Arizona,Office Supplies,60+,Low (<50),1,32.34,-23.72,32.34,1
2014-01,Arizona,Office Supplies,60+,Medium (50-500),2,164.78,56.32,82.39,1
2014-01,Arkansas,Furniture,45-59,High (500-1500),1,1067.94,224.27,1067.94,1
2014-01,Arkansas,Furniture,45-59,Low (<50),1,38.6,11.58,38.6,1
2014-01,Arkansas,Office Supplies,45-59,Low (<50),3,52.93,19.42,17.64,1
2014-01,Arkansas,Technology,45-59,High (500-1500),1,699.93,181.98,699.93,1
2014-01,California,Furniture,18-24,Medium (50-500),2,624.66,7.35,312.33,2
2014-01,California,Furniture,25-34,Low (<50),1,19.3,5.79,19.3,1
2014-01,California,Furniture,35-44,Medium (50-500),1,333.0,-16.65,333.0,1
2014-01,California,Office Supplies,18-24,High (500-1500),1,1325.85,238.65,1325.85,1
2014-01,California,Office Supplies,18-24,Low (<50),1,19.9,6.57,19.9,1
2014-01,California,Office Supplies,25-34,Low (<50),2,38.8,18.62,19.4,2
2014-01,California,Office Supplies,35-44,Low (<50),1,36.44,12.03,36.44,1
2014-01,California,Office Supplies,35-44,Medium (50-500),1,57.23,14.31,57.23,1
2014-01,Delaware,Furniture,35-44,Low (<50),1,9.94,3.08,9.94,1
2014-01,Florida,Furniture,45-59,Low (<50),1,25.25,4.1,25.25,1
2014-01,Georgia,Office Supplies,45-59,Low (<50),1,12.78,5.24,12.78,1
2014-01,Georgia,Technology,35-44,Medium (50-500),1,149.95,65.98,149.95,1
2014-01,Illinois,Office Supplies,45-59,Low (<50),2,15.32,-1.22,7.66,1
2014-01,Illinois,Office Supplies,45-59,Medium (50-500),1,272.74,-64.77,272.74,1
2014-01,Indiana,Office Supplies,18-24,Low (<50),1,5.94,0.0,5.94,1
2014-01,Kentucky,Furniture,25-34,Very High (1500+),1,2573.82,746.41,2573.82,1
2014-01,Kentucky,Office Supplies,25-34,High (500-1500),1,609.98,274.49,609.98,1
2014-01,Kentucky,Office Supplies,25-34,Low (<50),3,43.14,4.8,14.38,1
2014-01,Kentucky,Technology,25-34,High (500-1500),1,755.96,204.11,755.96,1
2014-01,Kentucky,Technology,25-34,Medium (50-500),1,391.98,113.67,391.98,1
2014-01,Louisiana,Office Supplies,45-59,High (500-1500),1,572.58,34.35,572.58,1
2014-01,Louisiana,Office Supplies,45-59,Low (<50),2,17.0,8.05,8.5,1
2014-01,Louisiana,Office Supplies,45-59,Medium (50-500),1,50.94,25.47,50.94,1
2014-01,Louisiana,Technology,45-59,High (500-1500),1,646.74,258.7,646.74,1
2014-01,Michigan,Furniture,25-34,Low (<50),1,14.73,4.86,14.73,1
2014-01,Michigan,Furniture,25-34,Medium (50-500),1,272.94,30.02,272.94,1
2014-01,Michigan,Office Supplies,25-34,Low (<50),5,117.21,43.86,23.44,2
2014-01,Michigan,Office Supplies,25-34,Medium (50-500),3,544.24,116.46,181.41,2
2014-01,Nevada,Office Supplies,25-34,Low (<50),1,40.08,19.24,40.08,1
2014-01,New York,Office Supplies,35-44,Low (<50),1,3.93,1.33,3.93,1
2014-01,Ohio,Office Supplies,45-59,Low (<50),2,40.85,10.57,20.42,1
2014-01,Oregon,Office Supplies,35-44,Medium (50-500),1,64.86,6.49,64.86,1
2014-01,Pennsylvania,Furniture,25-34,Medium (50-500),1,61.96,-53.29,61.96,1
2014-01,Pennsylvania,Furniture,60+,Medium (50-500),1,127.1,28.6,127.1,1
2014-01,Pennsylvania,Office Supplies,25-34,Low (<50),1,19.54,4.88,19.54,1
2014-01,Pennsylvania,Office Supplies,60+,Low (<50),2,48.66,-3.48,24.33,1
2014-01,Pennsylvania,Technology,60+,Medium (50-500),1,124.2,-31.05,124.2,1
2014-01,South Carolina,Furniture,18-24,High (500-1500),1,545.94,87.35,545.94,1
2014-01,South Dakota,Furniture,60+,Medium (50-500),1,141.96,39.75,141.96,1
2014-01,South Dakota,Office Supplies,60+,Low (<50),1,10.68,5.02,10.68,1
2014-01,Tennessee,Office Supplies,25-34,Medium (50-500),1,67.19,-51.52,67.19,1
2014-01,Texas,Furniture,25-34,Medium (50-500),1,76.73,-53.71,76.73,1
2014-01,Texas,Office Supplies,25-34,Low (<50),1,10.43,-18.25,10.43,1
2014-01,Texas,Office Supplies,35-44,Low (<50),1,16.45,5.55,16.45,1
2014-01,Texas,Office Supplies,60+,Low (<50),1,9.34,1.17,9.34,1
2014-01,Texas,Technology,60+,Low (<50),1,31.2,9.75,31.2,1
2014-01,Virginia,Furniture,45-59,Low (<50),1,12.42,4.47,12.42,1
2014-01,Virginia,Furniture,45-59,Medium (50-500),1,62.82,30.78,62.82,1
2014-01,Virginia,Furniture,60+,Medium (50-500),1,51.94,21.3,51.94,1
2014-01,Virginia,Office Supplies,45-59,Low (<50),2,36.12,17.67,18.06,1
2014-01,Virginia,Office Supplies,45-59,Medium (50-500),1,489.92,0.0,489.92,1
2014-01,Virginia,Office Supplies,60+,Low (<50),1,2.89,1.36,2.89,1
2014-01,Virginia,Technology,45-59,Medium (50-500),2,343.33,52.63,171.66,1
2014-02,California,Furniture,60+,Medium (50-500),1,129.57,-24.29,129.57,1
2014-02,California,Office Supplies,25-34,Low (<50),3,63.84,27.93,21.28,3
2014-02,California,Office Supplies,25-34,Medium (50-500),1,82.9,29.01,82.9,1
2014-02,California,Office Supplies,35-44,Low (<50),1,12.96,6.22,12.96,1
2014-02,California,Office Supplies,60+,Low (<50),1,19.44,9.33,19.44,1
2014-02,Florida,Office Supplies,45-59,Low (<50),1,18.34,-12.22,18.34,1
2014-02,Florida,Technology,45-59,Medium (50-500),1,180.96,13.57,180.96,1
2014-02,Illinois,Office Supplies,18-24,Low (<50),1,8.85,-13.72,8.85,1
2014-02,Illinois,Office Supplies,60+,Low (<50),1,8.95,-14.77,8.95,1
2014-02,Illinois,Office Supplies,60+,Medium (50-500),1,54.21,8.81,54.21,1
2014-02,Indiana,Furniture,60+,Low (<50),1,20.32,6.91,20.32,1
2014-02,Indiana,Technology,60+,Medium (50-500),1,62.31,22.43,62.31,1
2014-02,Missouri,Furniture,45-59,Medium (50-500),2,393.83,68.49,196.92,1
2014-02,Missouri,Office Supplies,45-59,Low (<50),2,24.58,11.31,12.29,1
2014-02,Missouri,Office Supplies,45-59,Medium (50-500),2,116.86,26.99,58.43,1
2014-02,Nevada,Furniture,25-34,Low (<50),1,14.56,5.53,14.56,1
2014-02,New Jersey,Technology,45-59,Medium (50-500),1,115.36,49.6,115.36,1
2014-02,New York,Office Supplies,45-59,Medium (50-500),1,64.96,9.74,64.96,1
2014-02,Ohio,Office Supplies,60+,Low (<50),1,19.46,3.4,19.46,1
